datetime,distance,speed_avg,speed_max,time,wheather,gear,comment
2023-04-08T12:00:00,28.4,23.1,45.3,74,0.8,0.7,
2023-04-08T17:00:00,28.5,21.9,45.3,80,,,
2023-05-04T08:00:00,28.4,,51.2,75,,,
2023-05-04T18:00:00,28.4,,48.2,65,,,
2023-05-11T08:00:00,28.4,,45.4,70,,,
2023-05-11T18:00:00,28.4,,45.4,67,0.1,,
2023-05-15T08:00:00,28.4,,47.4,71,,0.6,
2023-05-15T18:00:00,28.4,,45.6,70,,,
2023-05-22T08:00:00,28.4,,45.6,68,,,
2023-05-22T18:00:00,28.4,,45.6,66,,,
2023-05-31T08:00:00,28.4,,46.6,72,,,
2023-05-31T18:00:00,28.4,,52.8,68,,,
2023-06-05T08:00:00,28.4,,48.6,68,,,
2023-06-05T18:00:00,28.4,,51.4,67,,,
